study,comparison,scale,estimate,std_error,gain_difference,gain_difference_se,t1_difference,control_t1_sd,n_treated,n_control,treated_gain,control_gain,estimate_sd
America in One Room 2019,Attended vs uninvited control,percent,0.1415184082479771,0.011659821475098378,0.13100880162491488,0.012339638524201309,0.037690088042140135,0.2570354100909469,523,844,0.14285714285714285,0.011848341232227503,0.5505794248267335
America in One Room 2019,"Attended vs uninvited control, weighted",percent,0.1389022669357984,0.015299643269436133,0.12541070319690775,0.01581740483724511,0.037690088042140135,0.2570354100909469,523,844,0.14285714285714285,0.011848341232227503,0.5404012890155897
America in One Room: Climate 2021,Attended vs uninvited control,percent,0.12097120548031695,0.008393314815156636,0.09313662080055812,0.008926049463192916,0.09240637519326045,0.30387046773364546,962,671,0.12201143451143454,0.028874813710879306,0.3981012251126458
America in One Room: Climate 2021,"Attended vs uninvited control, weighted",percent,0.12670134491982304,0.011271451562707495,0.10123776203056692,0.011743406411553851,0.09240637519326045,0.30387046773364546,962,671,0.12201143451143454,0.028874813710879306,0.41695840291686986
America in One Room: Climate 2021,"Attended vs control, one year later",percent,0.05480539325647947,0.009867684408123549,0.034250201018494075,0.010266593767210815,0.08758891202606,0.30166227927606504,845,574,0.0423076923076923,0.008057491289198585,0.18167797905658775
Tanzania 2015,Deliberation vs control villages,index,0.3354363439196253,0.050989127299163196,0.20885559929020195,0.09499474637896595,0.1581430961785863,0.9967557545215867,383,921,0.7184942760863262,0.5096386767961222,0.33652812376350394
Tanzania 2015,Information vs control villages,index,0.12918794895980848,0.06065096055742316,0.12739451205379868,0.10237765776925829,0.0022723152332227332,0.9967557545215867,281,921,0.6370331888499196,0.5096386767961222,0.12960843052450183
Tanzania 2015,Deliberation vs information,index,0.20536995090902319,0.05786419801263199,0.08146108723640653,0.08091753522398722,0.15587078094536355,0.9826065884555016,383,281,0.7184942760863262,0.6370331888499196,0.20900526550695275
Antimicrobial Resistance 2024,Attended vs randomized control,percent,0.12463843697133309,0.00917875058980755,0.10305092186128045,0.010019941517518373,0.04664887876792517,0.2294190131425731,1280,1139,0.125,0.02194907813871816,0.5432785856064867
Antimicrobial Resistance 2024,"Attended vs randomized control, weighted",percent,0.1143529393250214,0.012793708186143433,0.08707622360672554,0.013397626387629867,0.04664887876792517,0.2294190131425731,1280,1139,0.125,0.02194907813871816,0.4984457816229749
Antimicrobial Resistance 2024,Attended vs randomized control: Brazil,percent,0.08124673819933799,0.01892170374002743,0.062395409992828235,0.0207852100863974,0.04588014981273408,0.21752734888594696,188,178,0.0726950354609929,0.010299625468164791,0.37350125680949176
Antimicrobial Resistance 2024,Attended vs randomized control: Colombia,percent,0.10715715618174697,0.019900707792827852,0.08155610155610134,0.022632457237839104,0.043177723177723226,0.2144566245601445,275,185,0.08606060606060606,0.004504504504504507,0.4996682028430167
Antimicrobial Resistance 2024,Attended vs randomized control: India,percent,0.1475686400517502,0.024278361568434662,0.1357413419913425,0.02669713525041768,0.025013528138528196,0.25388103860077127,231,160,0.17532467532467533,0.03958333333333334,0.5812511279497417
Antimicrobial Resistance 2024,Attended vs randomized control: Indonesia,percent,0.09150634229477383,0.022010442474420754,0.05163299663299653,0.023877456669578724,0.08505050505050504,0.23627010444769148,198,200,0.07996632996632995,0.02833333333333334,0.3872954748493485
Antimicrobial Resistance 2024,Attended vs randomized control: Nigeria,percent,0.3141964638619669,0.02541838703259893,0.25996168582375456,0.02708873814041164,0.0851943076081007,0.16206724141378775,203,210,0.27504105090311987,0.015079365079365085,1.9386796561790363
Antimicrobial Resistance 2024,Attended vs randomized control: Tanzania,percent,-0.03601381031606854,0.01874704619400008,0.021967112743811794,0.022448461612519302,-0.07500218665267208,0.18840406796299775,185,206,0.05675675675675675,0.03478964401294497,-0.19115197832746156
