covariate,estimate,std_error,n,groups
k1,0.016983412271425528,0.016586008872856765,6013,412
female,-0.015698328166317648,0.020400406651481406,5999,412
age,-0.008280523485955916,0.02502890944151548,5960,412
education_ba,0.041797874205741034,0.03045753875820346,5894,412
