study,group,people,raw_gain,raw_gain_se,reset_gain,reset_gain_se,lca_gain,lca_gain_se,right_to_wrong,wrong_to_right
America in One Room 2019,"Attendees, T1 to T2",523,0.1428571428571428,0.010295654958046964,0.238186287899481,0.007547879362382129,0.14160839592688118,0.012176893599078276,0.20823389021479713,0.43929471032745593
America in One Room 2019,"Controls, T1 to T2",844,0.011848341232227444,0.006804478650471612,0.1159444820582261,0.004445709932458194,0.03637874705142515,0.006670448899924773,0.24778404512489927,0.19994162288382955
America in One Room: Climate 2021,"Attendees, T1 to T2",962,0.12201143451143448,0.005963896525124591,0.17255717255717262,0.00536773990374798,0.1425566051764938,0.007610628303886763,0.07373009855951479,0.5487603305785124
America in One Room: Climate 2021,"Controls, T1 to T2",671,0.028874813710879188,0.006641643605004764,0.10972429210134127,0.0048038403742203814,0.038594953232117125,0.007568085559136275,0.13630653266331658,0.2696886446886447
America in One Room: Climate 2021,"Attendees, T2 to one year later",845,-0.07943786982248524,0.006198582830267318,0.05887573964497039,0.003099665757137616,0.0010433310642736344,0.002366016477950469,0.17040277018407143,0.3126472898664572
Antimicrobial Resistance 2024,"Attendees, T1 to T2",1280,0.125,0.007103607787109651,0.20247395833333337,0.005578256053836359,0.14389398938286932,0.009192040930628764,0.22053372868791699,0.3121236451224408
Antimicrobial Resistance 2024,"Controls, T1 to T2",1139,0.021949078138718214,0.007066699536098273,0.1338893766461809,0.004670661663121591,0.026661471018642698,0.006572184523460755,0.36743515850144093,0.19255050505050506
