study,group,k1,n
America in One Room 2019,attended,0.4577984157334062,523
America in One Room 2019,"invited, did not attend",0.3783331186397011,2218
America in One Room: Climate 2021,attended,0.6855509355509356,962
America in One Room: Climate 2021,"invited, did not attend",0.5789754915930464,7018
