file_key,respondents,items,k1,k2,raw,raw_se,lca,lca_converged,items_used,theta_gain,theta_gain_se,t2_sd,converged,cor_poll_name
ukcrime,299,7,0.5222169135212613,0.6168179646440516,0.09460105112279028,0.012340445252613484,0.1417692614678386,TRUE,7,0.28383413964213877,0.14081838711894482,1.2470721929673443,TRUE,UK Crime
ukeu,224,5,0.5151785714285714,0.7178571428571429,0.20267857142857143,0.020346136335828022,0.27547624739980053,TRUE,5,1.2934248160094757,0.22280436251005478,1.379016904745983,TRUE,UK EU
ukmon,258,8,0.6468023255813954,0.7989341085271318,0.1521317829457364,0.010917980455132283,0.21172437663276694,TRUE,8,1.8502597196021597,0.27222075741583107,1.4006853980323173,TRUE,UK Monarchy
nic1,466,8,0.5295064377682404,0.6209763948497854,0.09146995708154501,0.010052694263564785,0.19327541771110557,TRUE,8,0.4964558808749095,0.10838100341963351,1.236666842299866,TRUE,National Issues Convention
cpl,216,7,0.29365079365079366,0.45436507936507936,0.1607142857142857,0.015023770181985351,0.1895761259961823,TRUE,7,2.095065084434845,0.4168559030088817,0.9649719522075378,TRUE,Central Power & Light
wtu,230,5,0.3991304347826087,0.6869565217391305,0.2878260869565218,0.01753020287893481,0.3472295686542663,TRUE,5,2.2950213875923713,0.3457583608611546,1.3590926609152527,TRUE,West Texas Utilities
swp,232,5,0.4353448275862069,0.6379310344827587,0.20258620689655174,0.02020497306679124,0.2331267568657304,TRUE,5,2.042627026566933,0.3142967680128393,1.4757292870827856,TRUE,Southwestern Electric Power
ukbge,275,15,0.5447272727272727,0.6475151515151515,0.1027878787878788,0.011883752331246956,0.19068306421144374,TRUE,15,0.7837942876807665,0.1277559348431962,1.1820376924257547,TRUE,UK General Election
ukhealth,230,6,0.6579710144927536,0.7369565217391304,0.07898550724637682,0.01501259023162092,0.1220294234412597,TRUE,6,0.8293563073370351,0.2197558593288156,1.570461986712748,TRUE,UK Health
aus,347,10,0.46829971181556196,0.7518731988472622,0.28357348703170027,0.01329329804392732,0.4391001941702139,TRUE,10,2.244371256634803,0.19565699355329952,1.807781688478161,TRUE,Australia Republic Referendum
dk,363,9,0.5993265993265994,0.8099173553719008,0.2105907560453015,0.011542274088837633,0.3589667316655721,TRUE,9,2.22013885405318,0.23247539207857967,1.531155651921687,TRUE,Denmark: Euro
btp04,328,7,0.48127177700348434,0.5087108013937283,0.027439024390243958,0.01548928529863919,0.06005501560324946,TRUE,7,0.04629664311857597,0.11325433710356407,1.482526870077213,TRUE,By the People 2004 Online Primaries
btp04GE,250,9,0.7386666666666667,0.8093333333333333,0.07066666666666667,0.010852647572990997,0.08881376827545978,TRUE,9,0.4381407093687807,0.13665094216216894,1.122610747495882,TRUE,By the People 2004 US General Election
btp05,454,6,0.3748164464023495,0.4100587371512482,0.03524229074889868,0.01150319213715224,0.05405602011483252,TRUE,6,0.45737624596871246,0.11599082189390217,0.8679613488400233,TRUE,By the People: Health and Education
eu2007,335,11,0.36526458616010854,0.5470827679782904,0.18181818181818182,0.011146144619195737,0.22873537025562704,TRUE,11,1.4396108407276973,0.16669636757073272,1.1861832409053568,TRUE,Tomorrow's Europe (EU)
bul,278,7,0.4316546762589928,0.5246659815005139,0.09301130524152111,0.01790113663297773,0.08218151046223836,TRUE,7,0.4086469886243026,0.10836870922910075,0.8733758478574919,TRUE,Bulgarian National Crime Poll
ire,124,7,0.21774193548387097,0.5034562211981567,0.2857142857142857,0.021266543649924717,0.3232679930382606,TRUE,7,1.8614974078626232,0.3027254594147286,1.1713790617939475,TRUE,Northern Ireland
vt,146,9,0.23211567732115676,0.6293759512937596,0.3972602739726027,0.01774033006944157,0.43943454409348004,TRUE,9,2.5295837998146613,0.3399414805297907,0.6311872891790719,TRUE,Vermont Energy
btp07,301,8,0.5074750830564784,0.6196013289036545,0.11212624584717609,0.010538249271290358,0.1263518523765155,TRUE,8,0.7530016244608191,0.14232010561584915,1.274421133291471,TRUE,By the People 2007
sm,239,8,0.14539748953974896,0.25889121338912136,0.11349372384937234,0.01410211777565122,0.12113190782031963,TRUE,6,1.4440517514267344,0.23867947525110353,1.2617851552947525,TRUE,"San Mateo, CA"
eu2009,348,6,0.19731800766283525,0.36302681992337166,0.16570881226053638,0.0128872285911346,0.1823521028631683,TRUE,6,2.0192978404165305,0.4270046220367922,1.1734859104284612,TRUE,Europolis
mi,310,9,0.34157706093189966,0.43942652329749105,0.0978494623655914,0.012796731948704107,0.08756868595960096,TRUE,9,0.5755239113553192,0.12974290334835126,1.5130499679152067,TRUE,Michigan
ca,401,5,0.5965087281795511,0.8074812967581048,0.21097256857855362,0.01460018291020904,0.2862145940351868,TRUE,5,1.4719310452109329,0.19715285024234183,1.5204734330076182,TRUE,California What's Next
