peer,polls,median,lower,upper,tau
female,23,0.02600889957753783,-0.013768704339655002,0.06499780198764364,0.0278771631327428
k1,23,0.07667533570658414,-0.0393889709087421,0.19807682459754633,0.19638925737383517
